Designator,Value,Package,Mid X,Mid Y,Rotation,Layer
"R325","62.5mW Thick Film Resistors 50V ±100ppm/℃ ±1% 60.4kΩ 0402 Chip Resistor - Surface Mount ROHS","R0402",183.834383,-100.265372,90.000000,top
"R326","62.5mW Thick Film Resistors 50V ±100ppm/℃ ±1% 10kΩ 0402 Chip Resistor - Surface Mount ROHS","R0402",187.049207,-100.263407,90.000000,top
"R327","62.5mW Thick Film Resistors 50V ±100ppm/℃ ±1% 10kΩ 0402 Chip Resistor - Surface Mount ROHS","R0402",182.812323,-98.025818,-90.000000,top
"R328","125mW Thick Film Resistors 150V ±1% 100mΩ 0805 Chip Resistor - Surface Mount ROHS","R0805",179.886149,-116.292311,-90.000000,top
"R329","62.5mW Thick Film Resistors 50V ±100ppm/℃ ±1% 13kΩ 0402 Chip Resistor - Surface Mount ROHS","R0402",183.526383,-128.992311,180.000000,top
"R330","62.5mW Thick Film Resistors 50V ±100ppm/℃ ±1% 10kΩ 0402 Chip Resistor - Surface Mount ROHS","R0402",183.526383,-131.024311,180.000000,top
"R331","62.5mW Thick Film Resistors 50V ±100ppm/℃ ±1% 1kΩ 0402 Chip Resistor - Surface Mount ROHS","R0402",183.526383,-130.008311,0.000000,top
"R332","62.5mW Thick Film Resistors 50V ±100ppm/℃ ±1% 13kΩ 0402 Chip Resistor - Surface Mount ROHS","R0402",183.526383,-142.708311,180.000000,top
"R333","62.5mW Thick Film Resistors 50V ±100ppm/℃ ±1% 10kΩ 0402 Chip Resistor - Surface Mount ROHS","R0402",183.526383,-144.740311,180.000000,top
"R334","62.5mW Thick Film Resistors 50V ±100ppm/℃ ±1% 1kΩ 0402 Chip Resistor - Surface Mount ROHS","R0402",183.526383,-143.724311,0.000000,top
"R335","62.5mW Thick Film Resistors 50V ±100ppm/℃ ±1% 1kΩ 0402 Chip Resistor - Surface Mount ROHS","R0402",179.907794,-114.020281,0.000000,top
